Unnamed: 0,Z-score,equipment,type_x,b_type,fridge,washer,tv,ac,wheater,bed,closet,fourthTv,net,gas,sofa,tableAndChairs,balcony,lift,park,gender,publisher,title,kind_name,price,price_unit,section_name,street_name,location,area_y,refresh_time,yesterday_hit,surrounding
11834518,0.0,0.0,分租套房,電梯大樓,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,none,屋主,北歐風大套房,分租套房,10000,元/月,前鎮區,文橫三路,前鎮區-文橫三路35號,10.0,11小時內,22,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '240公尺'}"
11834537,0.0,0.0,1房1廳1衛,透天厝,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,none,仲介,鳳山家樂福美套房,整層住家,8800,元/月,鳳山區,中山西路,鳳山區-中山西路,11.9,11小時內,54,"{'type': 'subway_station', 'desc': '距鳳山西站(高雄市議會)', 'distance': '319公尺'}"
11834574,0.0,0.0,獨立套房,透天厝,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,none,屋主,北歐工業風共享公寓（限女生）,獨立套房,5000,元/月,鳳山區,中山東路,鳳山區-中山東路2號,10.0,11小時內,45,"{'type': 'subway_station', 'desc': '距大東站', 'distance': '545公尺'}"
11834583,0.0,0.0,獨立套房,電梯大樓,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,none,仲介,站前優質套房,獨立套房,6000,元/月,三民區,河北二路,三民區-河北二路,6.0,52分鐘內,12,"{'type': 'subway_station', 'desc': '距捷運市議會(舊址)', 'distance': '888公尺'}"
11834613,0.0,0.0,2房1廳1衛,電梯大樓,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,none,屋主,高醫科工館高樓層採光景觀2房全新未住,整層住家,20000,元/月,三民區,建興路,三民區-建興路365巷,21.1,11小時內,19,"{'type': 'bus_station', 'desc': '距民族派出所', 'distance': '524公尺'}"
11834621,0.0,0.0,6房3廳6衛,透天厝,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,none,屋主,民宿風森之寓/6套房/廚餐廳/可租半層,整層住家,32500,元/月,湖內區,中山路一段,湖內區-中山路一段385巷,35.0,3小時內,22,"{'type': 'bus_station', 'desc': '距湖內分局', 'distance': '418公尺'}"
11834636,0.0,0.0,3房2廳2衛,公寓,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,none,仲介,近青年路多那之咖啡三房兩廳衛~汽機車好停,整層住家,11000,元/月,鳳山區,文龍東路,鳳山區-文龍東路503巷,22.0,3天前,83,"{'type': 'bus_station', 'desc': '距臺鐵鳳山站', 'distance': '962公尺'}"
11834646,0.0,0.0,雅房,電梯大樓,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,none,代理人,R21一樓高科大安靜雅房男生,雅房,4300,元/月,楠梓區,高楠公路,楠梓區-高楠公路1742巷,4.0,3分鐘內,30,"{'type': 'subway_station', 'desc': '距都會公園站', 'distance': '204公尺'}"
11834671,0.0,0.0,獨立套房,別墅,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,none,屋主,位於高餐旅大學旁家俱家電一應俱全物美價廉,獨立套房,3900,元/月,小港區,高松路,小港區-高松路,10.0,11小時內,31,"{'type': 'bus_station', 'desc': '距水利工作站', 'distance': '622公尺'}"
11834709,0.0,0.0,3房3廳3衛,電梯大樓,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,none,仲介,橋頭1～2樓超大坪數出租,整層住家,20000,元/月,橋頭區,隆豐路,橋頭區-隆豐路,48.0,8小時內,11,"{'type': 'subway_station', 'desc': '距橋頭火車站', 'distance': '536公尺'}"
11834715,0.0,0.0,獨立套房,公寓,1,1,1,1,1,1,1,0,1,0,0,1,0,0,1,none,代理人,超級無敵優美獨立套房出租,獨立套房,5000,元/月,大寮區,進學路,大寮區-進學路100巷,6.0,11小時內,36,"{'type': 'restaurant', 'desc': '距樹荳複合式早午餐', 'distance': '26公尺'}"
11834728,0.0,0.0,3房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,仲介,��美術館城品悠活3房車位-橘公寓,整層住家,28000,元/月,鼓山區,美術南五街,鼓山區-美術南五街,45.5,3小時內,16,"{'type': 'bus_station', 'desc': '距臺鐵美術館站(青海路)', 'distance': '251公尺'}"
11834730,0.0,0.0,4房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,仲介,��楠梓樹河堤雅致4房平車🏆權威,整層住家,26000,元/月,楠梓區,德富街,楠梓區-德富街,56.9,昨日,23,"{'type': 'bus_station', 'desc': '距加昌站', 'distance': '899公尺'}"
11834814,0.0,0.0,獨立套房,電梯大樓,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,none,仲介,新光百貨商圈套房出租,獨立套房,12500,元/月,前鎮區,文橫三路,前鎮區-文橫三路,11.0,11小時內,14,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '261公尺'}"
11834858,0.0,0.0,分租套房,透天厝,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,none,仲介,鳳山國中套房出租,分租套房,8000,元/月,鳳山區,中山東路,鳳山區-中山東路,9.6,11小時內,28,"{'type': 'subway_station', 'desc': '距捷運鳳山國中站', 'distance': '425公尺'}"
11834898,0.0,0.0,3房2廳2衛,電梯大樓,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,none,仲介,��文山方城市寧靜3房平車-橘公寓,整層住家,35000,元/月,三民區,褒揚東街,三民區-褒揚東街,52.3,3小時內,23,"{'type': 'bus_station', 'desc': '距澄清澄和路口', 'distance': '530公尺'}"
11834903,0.0,0.0,3房2廳2衛,電梯大樓,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,none,代理人,亞灣區簡易3房(空屋),整層住家,12000,元/月,苓雅區,新光路,苓雅區-新光路62巷9號,23.0,11小時內,83,"{'type': 'subway_station', 'desc': '距捷運三多商圈站', 'distance': '443公尺'}"
11834933,0.0,0.0,4房1廳2衛,公寓,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,none,屋主,高應大、正修.文藻、高醫、育英.優質學宿,整層住家,12000,元/月,三民區,新民路,三民區-新民路32號,20.0,8小時內,48,"{'type': 'bus_station', 'desc': '距莊敬國小', 'distance': '344公尺'}"
